rp_id,x,y,floor
0,5.4118,125.8824,1
1,5.4118,121.6824,1
2,5.4118,117.4824,1
3,5.4118,111.2941,1
4,10.2055,111.5399,1
5,14.5882,111.7647,1
6,23.5294,111.5294,1
7,28.0161,110.6636,1
8,32.1819,109.8596,1
9,41.3872,109.9962,1
10,46.0575,111.1044,1
11,50.8235,112.2353,1
12,59.7647,112.0,1
13,64.757,109.6173,1
14,70.1176,107.0588,1
15,79.6566,108.6487,1
16,84.2353,109.4118,1
17,88.7966,110.9066,1
18,97.9192,113.8964,1
19,102.5159,115.4029,1
20,107.0772,116.8978,1
21,117.4118,120.7059,1
22,121.3156,123.5976,1
23,123.7647,125.4118,1
24,127.8244,135.2186,1
25,128.4706,140.0,1
26,3.7647,75.2941,1
27,13.3647,73.4941,1
28,18.4863,73.7159,1
29,23.8813,73.9495,1
30,31.3337,77.1544,1
31,34.9027,80.1912,1
32,41.1765,85.5294,1
33,50.9087,88.024,1
34,56.2177,89.0111,1
35,61.5267,89.9982,1
36,72.7346,92.082,1
37,78.6335,93.1788,1
38,84.5325,94.2755,1
39,96.1899,93.7655,1
40,100.9437,91.9184,1
41,105.1619,90.2793,1
42,108.6824,90.7765,1
43,113.4824,90.7765,1
44,118.4706,90.7765,1
45,126.4706,98.0,1
46,131.7647,89.1765,1
47,0.0,125.8824,1
48,0.0,117.4824,1
49,0.0,113.2824,1
50,0.0,109.0824,1
51,0.0,100.6824,1
52,0.0,96.4824,1
53,0.0,92.2824,1
54,0.0,83.2224,1
55,0.0,78.5224,1
56,0.0,73.7524,1
57,0.0,65.3524,1
58,0.0,62.3524,1
59,0.0,59.3524,1
60,0.0,53.1765,1
61,3.7647,71.6941,1
62,3.7647,68.6941,1
63,3.7647,62.6941,1
64,3.7647,59.6941,1
65,3.7647,53.1765,1
66,9.0794,108.2353,1
67,14.4794,108.2353,1
68,19.8794,108.2353,1
69,30.6794,108.2353,1
70,35.5294,108.2353,1
71,35.5294,102.2353,1
72,3.5294,102.2353,1
73,3.5294,96.2353,1
74,9.0794,96.2353,1
75,18.6794,96.2353,1
76,23.4794,96.2353,1
77,28.2794,96.2353,1
78,42.1176,107.2941,1
79,47.9725,107.8607,1
80,52.7873,108.3267,1
81,61.8824,106.3529,1
82,64.0,102.3529,1
83,61.4118,97.4118,1
84,42.1176,97.4118,1
85,44.4706,94.1176,1
86,49.3625,94.8588,1
87,96.9412,100.0,1
88,101.4758,101.6843,1
89,105.9755,103.3556,1
90,116.1794,107.1456,1
91,121.6471,109.1765,1
92,104.4706,93.1765,1
93,115.4372,93.1765,1
94,113.6471,93.1765,1
95,119.3141,98.7086,1
96,5.6471,91.7647,1
97,11.1971,91.7647,1
98,17.1971,91.7647,1
99,29.1971,91.7647,1
100,35.0588,91.7647,1
101,5.6471,76.7059,1
102,15.5535,74.2699,1
103,20.0,73.1765,1
104,25.4118,73.8824,1
105,35.0588,81.8824,1
106,42.8235,90.5882,1
107,47.9861,92.1718,1
108,57.164,94.9872,1
109,61.753,96.3948,1
110,65.7683,97.6265,1
111,74.9462,100.4418,1
112,79.5352,101.8495,1
113,84.1241,103.2571,1
114,93.302,106.0724,1
115,97.891,107.4801,1
116,103.6272,109.2397,1
117,113.3787,112.2309,1
118,119.5294,114.1176,1
119,136.4706,134.8235,1
120,136.4706,125.1765,1
121,141.8824,126.3529,1
122,146.5068,128.2541,1
123,155.7557,132.0564,1
124,163.0588,135.0588,1
125,168.047,135.4028,1
126,178.0233,136.0909,1
127,183.0114,136.4349,1
128,183.5294,136.4706,1
129,188.5397,133.355,1
130,192.6158,130.8202,1
131,196.692,128.2855,1
132,204.8443,123.216,1
133,208.9205,120.6812,1
134,211.5294,119.0588,1
135,219.1313,117.2241,1
136,223.2038,114.6834,1
137,227.2763,112.1428,1
138,235.4213,107.0615,1
139,240.7059,103.7647,1
140,145.6471,120.2353,1
141,154.1376,125.5183,1
142,156.2353,126.8235,1
143,160.967,128.4392,1
144,150.8657,101.9229,1
145,154.2019,98.1987,1
146,157.5381,94.4745,1
147,180.9412,130.1176,1
148,187.7647,125.6471,1
149,188.6792,120.7314,1
150,170.8625,130.5623,1
151,175.8427,131.007,1
152,179.0588,131.2941,1
153,215.3678,112.5201,1
154,219.4415,109.9815,1
155,223.5152,107.4428,1
156,231.6626,102.3654,1
157,235.7363,99.8267,1
