rp_id,x,y,floor
1,-7.61654,-7.58647,1.5
2,-6.61654,-7.58647,1.5
3,-5.61654,-7.58647,1.5
4,-4.61654,-7.58647,1.5
5,-3.61654,-7.58647,1.5
6,-2.61654,-7.58647,1.5
7,-1.61654,-7.58647,1.5
8,-0.616541,-7.58647,1.5
9,0.383459,-7.58647,1.5
10,1.38346,-7.58647,1.5
11,2.38346,-7.58647,1.5
12,3.38346,-7.58647,1.5
13,4.38346,-7.58647,1.5
14,5.38346,-7.58647,1.5
15,6.38346,-7.58647,1.5
16,7.38346,-7.58647,1.5
17,-7.61654,-6.58647,1.5
18,-6.61654,-6.58647,1.5
19,-5.61654,-6.58647,1.5
20,-4.61654,-6.58647,1.5
21,-3.61654,-6.58647,1.5
22,-2.61654,-6.58647,1.5
23,-1.61654,-6.58647,1.5
24,-0.616541,-6.58647,1.5
25,0.383459,-6.58647,1.5
26,1.38346,-6.58647,1.5
27,2.38346,-6.58647,1.5
28,3.38346,-6.58647,1.5
29,4.38346,-6.58647,1.5
30,5.38346,-6.58647,1.5
31,6.38346,-6.58647,1.5
32,7.38346,-6.58647,1.5
33,-7.61654,-5.58647,1.5
34,-6.61654,-5.58647,1.5
35,-5.61654,-5.58647,1.5
36,-4.61654,-5.58647,1.5
37,-3.61654,-5.58647,1.5
38,-2.61654,-5.58647,1.5
39,-1.61654,-5.58647,1.5
40,-0.616541,-5.58647,1.5
41,0.383459,-5.58647,1.5
42,1.38346,-5.58647,1.5
43,2.38346,-5.58647,1.5
44,3.38346,-5.58647,1.5
45,4.38346,-5.58647,1.5
46,5.38346,-5.58647,1.5
47,6.38346,-5.58647,1.5
48,7.38346,-5.58647,1.5
49,-7.61654,-4.58647,1.5
50,-6.61654,-4.58647,1.5
51,-5.61654,-4.58647,1.5
52,-4.61654,-4.58647,1.5
53,-3.61654,-4.58647,1.5
54,-2.61654,-4.58647,1.5
55,-1.61654,-4.58647,1.5
56,-0.616541,-4.58647,1.5
57,0.383459,-4.58647,1.5
58,1.38346,-4.58647,1.5
59,2.38346,-4.58647,1.5
60,3.38346,-4.58647,1.5
61,4.38346,-4.58647,1.5
62,5.38346,-4.58647,1.5
63,6.38346,-4.58647,1.5
64,7.38346,-4.58647,1.5
65,-7.61654,-3.58647,1.5
66,-6.61654,-3.58647,1.5
67,-5.61654,-3.58647,1.5
68,-4.61654,-3.58647,1.5
69,-3.61654,-3.58647,1.5
70,-2.61654,-3.58647,1.5
71,-1.61654,-3.58647,1.5
72,-0.616541,-3.58647,1.5
73,0.383459,-3.58647,1.5
74,1.38346,-3.58647,1.5
75,2.38346,-3.58647,1.5
76,3.38346,-3.58647,1.5
77,4.38346,-3.58647,1.5
78,5.38346,-3.58647,1.5
79,6.38346,-3.58647,1.5
80,7.38346,-3.58647,1.5
81,-7.61654,-2.58647,1.5
82,-6.61654,-2.58647,1.5
83,-5.61654,-2.58647,1.5
84,-4.61654,-2.58647,1.5
85,-3.61654,-2.58647,1.5
86,-2.61654,-2.58647,1.5
87,-1.61654,-2.58647,1.5
88,-0.616541,-2.58647,1.5
89,0.383459,-2.58647,1.5
90,1.38346,-2.58647,1.5
91,2.38346,-2.58647,1.5
92,3.38346,-2.58647,1.5
93,4.38346,-2.58647,1.5
94,5.38346,-2.58647,1.5
95,6.38346,-2.58647,1.5
96,7.38346,-2.58647,1.5
97,-7.61654,-1.58647,1.5
98,-6.61654,-1.58647,1.5
99,-5.61654,-1.58647,1.5
100,-4.61654,-1.58647,1.5
101,-3.61654,-1.58647,1.5
102,-2.61654,-1.58647,1.5
103,-1.61654,-1.58647,1.5
104,-0.616541,-1.58647,1.5
105,0.383459,-1.58647,1.5
106,1.38346,-1.58647,1.5
107,2.38346,-1.58647,1.5
108,3.38346,-1.58647,1.5
109,4.38346,-1.58647,1.5
110,5.38346,-1.58647,1.5
111,6.38346,-1.58647,1.5
112,7.38346,-1.58647,1.5
113,-7.61654,-0.586466,1.5
114,-6.61654,-0.586466,1.5
115,-5.61654,-0.586466,1.5
116,-4.61654,-0.586466,1.5
117,-3.61654,-0.586466,1.5
118,-2.61654,-0.586466,1.5
119,-1.61654,-0.586466,1.5
120,-0.616541,-0.586466,1.5
121,0.383459,-0.586466,1.5
122,1.38346,-0.586466,1.5
123,2.38346,-0.586466,1.5
124,3.38346,-0.586466,1.5
125,4.38346,-0.586466,1.5
126,5.38346,-0.586466,1.5
127,6.38346,-0.586466,1.5
128,7.38346,-0.586466,1.5
129,-7.61654,0.413534,1.5
130,-6.61654,0.413534,1.5
131,-5.61654,0.413534,1.5
132,-4.61654,0.413534,1.5
133,-3.61654,0.413534,1.5
134,-2.61654,0.413534,1.5
135,-1.61654,0.413534,1.5
136,-0.616541,0.413534,1.5
137,0.383459,0.413534,1.5
138,1.38346,0.413534,1.5
139,2.38346,0.413534,1.5
140,3.38346,0.413534,1.5
141,4.38346,0.413534,1.5
142,5.38346,0.413534,1.5
143,6.38346,0.413534,1.5
144,7.38346,0.413534,1.5
145,-7.61654,1.41353,1.5
146,-6.61654,1.41353,1.5
147,-5.61654,1.41353,1.5
148,-4.61654,1.41353,1.5
149,-3.61654,1.41353,1.5
150,-2.61654,1.41353,1.5
151,-1.61654,1.41353,1.5
152,-0.616541,1.41353,1.5
153,0.383459,1.41353,1.5
154,1.38346,1.41353,1.5
155,2.38346,1.41353,1.5
156,3.38346,1.41353,1.5
157,4.38346,1.41353,1.5
158,5.38346,1.41353,1.5
159,6.38346,1.41353,1.5
160,7.38346,1.41353,1.5
161,-7.61654,2.41353,1.5
162,-6.61654,2.41353,1.5
163,-5.61654,2.41353,1.5
164,-4.61654,2.41353,1.5
165,-3.61654,2.41353,1.5
166,-2.61654,2.41353,1.5
167,-1.61654,2.41353,1.5
168,-0.616541,2.41353,1.5
169,0.383459,2.41353,1.5
170,1.38346,2.41353,1.5
171,2.38346,2.41353,1.5
172,3.38346,2.41353,1.5
173,4.38346,2.41353,1.5
174,5.38346,2.41353,1.5
175,6.38346,2.41353,1.5
176,7.38346,2.41353,1.5
177,-7.61654,3.41353,1.5
178,-6.61654,3.41353,1.5
179,-5.61654,3.41353,1.5
180,-4.61654,3.41353,1.5
181,-3.61654,3.41353,1.5
182,-2.61654,3.41353,1.5
183,-1.61654,3.41353,1.5
184,-0.616541,3.41353,1.5
185,0.383459,3.41353,1.5
186,1.38346,3.41353,1.5
187,2.38346,3.41353,1.5
188,3.38346,3.41353,1.5
189,4.38346,3.41353,1.5
190,5.38346,3.41353,1.5
191,6.38346,3.41353,1.5
192,7.38346,3.41353,1.5
193,-7.61654,4.41353,1.5
194,-6.61654,4.41353,1.5
195,-5.61654,4.41353,1.5
196,-4.61654,4.41353,1.5
197,-3.61654,4.41353,1.5
198,-2.61654,4.41353,1.5
199,-1.61654,4.41353,1.5
200,-0.616541,4.41353,1.5
201,0.383459,4.41353,1.5
202,1.38346,4.41353,1.5
203,2.38346,4.41353,1.5
204,3.38346,4.41353,1.5
205,4.38346,4.41353,1.5
206,5.38346,4.41353,1.5
207,6.38346,4.41353,1.5
208,7.38346,4.41353,1.5
209,-7.61654,5.41353,1.5
210,-6.61654,5.41353,1.5
211,-5.61654,5.41353,1.5
212,-4.61654,5.41353,1.5
213,-3.61654,5.41353,1.5
214,-2.61654,5.41353,1.5
215,-1.61654,5.41353,1.5
216,-0.616541,5.41353,1.5
217,0.383459,5.41353,1.5
218,1.38346,5.41353,1.5
219,2.38346,5.41353,1.5
220,3.38346,5.41353,1.5
221,4.38346,5.41353,1.5
222,5.38346,5.41353,1.5
223,6.38346,5.41353,1.5
224,7.38346,5.41353,1.5
225,-7.61654,6.41353,1.5
226,-6.61654,6.41353,1.5
227,-5.61654,6.41353,1.5
228,-4.61654,6.41353,1.5
229,-3.61654,6.41353,1.5
230,-2.61654,6.41353,1.5
231,-1.61654,6.41353,1.5
232,-0.616541,6.41353,1.5
233,0.383459,6.41353,1.5
234,1.38346,6.41353,1.5
235,2.38346,6.41353,1.5
236,3.38346,6.41353,1.5
237,4.38346,6.41353,1.5
238,5.38346,6.41353,1.5
239,6.38346,6.41353,1.5
240,7.38346,6.41353,1.5
