rp_id,x,y,floor
1,-53.56836,5.83747,1.0
2,-50.051947,5.855995,1.0
3,-46.452556,5.869534,1.0
4,-42.853167,5.883073,1.0
5,-44.659589,7.011051,1.0
6,-44.751032,11.879306,1.0
7,-40.626278,11.865147,1.0
8,-37.313205,14.650224,1.0
9,-40.672748,7.050528,1.0
10,-39.253777,5.896612,1.0
11,-35.654387,5.91015,1.0
12,-32.054999,5.923687,1.0
13,-29.658016,7.136601,1.0
14,-29.715037,10.176074,1.0
15,-28.455609,5.937224,1.0
16,-24.856221,5.950761,1.0
17,-21.256833,5.964297,1.0
18,-21.06986,12.146254,1.0
19,-17.657445,5.977833,1.0
20,-14.058057,5.991368,1.0
21,-14.001059,12.211117,1.0
22,-10.458671,6.004903,1.0
23,-6.859283,6.018437,1.0
24,-6.616741,8.258015,1.0
25,-3.259896,6.031971,1.0
26,0.33949,6.045505,1.0
27,0.297446,12.26954,1.0
28,3.938876,6.059038,1.0
29,7.538262,6.07257,1.0
30,7.525253,12.321256,1.0
31,11.137647,6.086102,1.0
32,14.737032,6.099633,1.0
33,14.705246,2.374095,1.0
34,14.717918,12.321068,1.0
35,18.336417,6.113164,1.0
36,21.935801,6.126695,1.0
37,21.899795,12.339099,1.0
38,21.921602,2.423358,1.0
39,36.238672,6.108184,1.0
40,32.733952,6.167284,1.0
41,31.779903,2.442016,1.0
42,29.134569,6.153754,1.0
43,25.535185,6.140225,1.0
44,38.088066,7.394376,1.0
45,38.040971,10.951591,1.0
46,37.993873,14.508804,1.0
47,29.037591,12.318132,1.0
48,44.93136,6.314889,1.0
49,44.816113,13.54513,1.0
