rp_id,x,y,floor,ap0,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8
192,7.38346,3.41353,1.5,-53.49277842167753,-54.57069218883221,-44.04308542051816,-110.0,-39.63934809417661,-18.33017963679059,-110,-32.18521019764281,-36.45079467115754
162,-6.61654,2.41353,1.5,-36.149123666701655,-33.24000132243059,-33.65389282870329,-110.0,-41.9565643763905,-44.751294423214176,-110,-36.59794253428437,-48.79858881421973
145,-7.61654,1.41353,1.5,-29.5097813834745,-29.285737063513785,-40.95734710190674,-110.0,-55.853537759245306,-39.1846855560763,-110,-41.57167083139108,-44.704590115930394
68,-4.61654,-3.58647,1.5,-41.384729885410856,-36.09729046516274,-33.44940507946611,-110.0,-37.20293707167576,-42.78104378489341,-110,-37.20451716432684,-56.95776797978285
236,3.38346,6.41353,1.5,-59.62586563671536,-39.15218320405363,-54.1400792166151,-110.0,-42.39140224233246,-38.63334566292771,-110,-45.376243826860275,-47.89731205351774
8,-0.616541,-7.58647,1.5,-32.21206918105134,-30.962853424590826,-55.4289427784449,-110.0,-47.387065280794,-43.69377177714286,-110,-40.94996650255429,-48.52098735481836
30,5.38346,-6.58647,1.5,-49.67499930839255,-46.7918247003759,-40.41590681385869,-81.40379897122324,-38.354591661503456,-45.299570905030215,-110,-41.009490712517355,-24.929386848209298
149,-3.61654,1.41353,1.5,-35.92251735408226,-42.65148141037208,-43.62789890542758,-110.0,-49.64252951071634,-39.14080615626294,-110,-43.51167429789292,-40.37641494268224
190,5.38346,3.41353,1.5,-55.46509096672597,-49.61152202478212,-40.00287208880741,-110.0,-38.5662419459431,-31.83917456370603,-110,-33.02558818980943,-36.351844501250326
204,3.38346,4.41353,1.5,-46.11431302962159,-29.238507200060027,-54.4497986287807,-110.0,-40.226228386616725,-39.25985856909718,-110,-50.0348523260957,-36.17084936458498
125,4.38346,-0.586466,1.5,-38.47169883770936,-53.54810144095694,-43.76635851385937,-110.0,-28.051297624605574,-32.81543786912299,-110,-44.803960090622745,-39.02803509592545
54,-2.61654,-4.58647,1.5,-40.77556440493977,-35.49021547706442,-36.097727958532886,-110.0,-33.650931483599884,-52.165935871386424,-110,-49.864245829454376,-44.22177309274924
87,-1.61654,-2.58647,1.5,-34.37528371490575,-40.71528373028471,-53.070915455830246,-110.0,-45.31901907619972,-50.40865537382239,-110,-32.803144001498204,-34.843283454586455
218,1.38346,5.41353,1.5,-35.09209509750017,-39.52558278577245,-51.18472026639799,-110.0,-37.075218699743544,-54.496458404734504,-110,-38.43862582250474,-52.844157871086715
167,-1.61654,2.41353,1.5,-33.617224425035644,-29.361451303923815,-43.00892356992713,-110.0,-45.35884642972541,-43.522592873316626,-110,-32.494374168103754,-41.7630772941635
180,-4.61654,3.41353,1.5,-27.219526791462805,-35.42597791393058,-41.38875806138481,-110.0,-40.97390495914212,-66.00849678283556,-110,-27.78976355293677,-39.30170639426489
