rp_id,x,y,floor,ap0,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8
129,-7.61654,0.413534,1.5,-34.708265184776735,-42.57104048994669,-38.163140455210346,-110.0,-45.42859099729112,-40.61724060987216,-110,-35.26680710046382,-45.90940840605111
215,-1.61654,5.41353,1.5,-45.15330339709415,-37.575197923705005,-42.99963692525851,-110.0,-44.288372920488115,-47.38622138612487,-110,-29.418228990909345,-45.72657748960307
102,-2.61654,-1.58647,1.5,-43.63188595041229,-39.42100897679663,-35.0916613381287,-110.0,-41.3477250743362,-42.667890080389725,-110,-34.54306981351563,-37.778412098529394
27,2.38346,-6.58647,1.5,-56.45899715950087,-43.62276861012456,-28.80053511071048,-75.47490366632645,-38.14018892333587,-40.92486670400076,-110,-38.85339929211529,-36.60298986606957
233,0.383459,6.41353,1.5,-33.599446056260334,-20.913080463254826,-45.72891614733777,-110.0,-46.649235797880785,-44.73292205298948,-110,-39.03271538814231,-48.12887465265191
59,2.38346,-4.58647,1.5,-43.35296983932672,-58.180741772814265,-36.97733025966124,-110.0,-30.081294588576046,-34.97094809871976,-110,-40.148452611281634,-33.51471819519233
94,5.38346,-2.58647,1.5,-45.62679103861247,-49.64943321070045,-40.271852339522106,-110.0,-49.939621096946794,-45.586919737850046,-110,-33.45801820222262,-39.731691423284
37,-3.61654,-5.58647,1.5,-36.4282848684047,-39.18051046390905,-33.194970827607385,-110.0,-32.172254012516724,-47.89504314564856,-110,-51.6265354641476,-35.69208395031508
166,-2.61654,2.41353,1.5,-44.58314462000713,-32.45735890390691,-43.35740358491823,-110.0,-44.07387531060317,-47.611026728308104,-110,-28.02734683663345,-54.36389912216104
205,4.38346,4.41353,1.5,-37.50514842132611,-27.106032771045044,-49.47282926348121,-110.0,-45.53693683918633,-45.76725010591608,-110,-41.179329725518734,-44.67130363918035
195,-5.61654,4.41353,1.5,-29.644535895013,-48.859395874974055,-44.30265842505183,-110.0,-42.42671437667785,-43.87058435656519,-110,-32.22557836304563,-60.67831797411099
87,-1.61654,-2.58647,1.5,-42.99559992103956,-39.42740407403305,-44.424687746041286,-110.0,-46.79214322228879,-46.6477528163682,-110,-42.7714625248596,-40.06824127471052
197,-3.61654,4.41353,1.5,-47.83515050075357,-49.36669227576497,-47.693619476753696,-110.0,-45.273879969389625,-52.42839565055675,-110,-35.85004043917781,-51.45749937286891
77,4.38346,-3.58647,1.5,-48.92086526237752,-59.173681954286735,-39.691983561924275,-110.0,-38.43002013933853,-38.3463910532962,-110,-46.07252377015292,-31.566947573894677
58,1.38346,-4.58647,1.5,-49.08580648206416,-51.79013629313403,-38.69399912702964,-110.0,-35.873147212946165,-35.51015807033396,-110,-41.252574000963,-38.612443552240194
21,-3.61654,-6.58647,1.5,-35.1493422845507,-40.07627308345754,-36.88188719037707,-83.59028360888026,-30.72545390977961,-49.743878685299975,-110,-43.11136938752621,-42.719267345637014
